상병코드,상병명
A00,콜레라(Cholera)
A01,장티푸스 및 파라티푸스(Typhoid and paratyphoid fevers)
A02,기타 살모넬라 감염(Other salmonella infections)
A03,이질(Shigellosis)
A04,기타 세균성 창자 감염(Other bacterial intestinal infections)
A05,기타 세균성 식중독(Other bacterial foodborne intoxications)
A06,아메바증(Amoebiasis)
A07,기타 원충성 창자 질환(Other protozoal intestinal diseases)
A08,바이러스 및 기타 명시된 창자 감염(Viral and other specified intestinal infections)
A09,감염성 기원으로 추정되는 설사 및 위장염(Diarrhoea and gastroenteritis of presumed infectious origin)
A15,"세균학적 및 조직학적으로 확인된 호흡기 결핵(Respiratory tuberculosis, bacteriologically and histologically confirmed)"
A16,"세균학적으로나 조직학적으로 확인되지 않은 호흡기 결핵(Respiratory tuberculosis, not confirmed bacteriologically or histologically)"
A17,신경계통의 결핵(Tuberculosis of nervous system)
A18,기타 장기의 결핵(Tuberculosis of other organs)
A19,좁쌀 결핵(Miliary tuberculosis) 
A20,페스트(Plague)
A21,야생토끼병(Tularaemia)
A22,탄저병(Anthrax)
A23,브루셀라증(Brucellosis)
A24,마비저 및 유비저(Glanders and Melioidosis)
A25,쥐물음열(Rat-bite fevers)
A26,유사단독(Erysipeloid) 
A27,렙토스피라증(Leptospirosis)
A28,"달리 분류되지 않은 기타 동물 매개의 세균성 질환(Other zoonotic bacterial diseases, NEC)"
A30,나병[한센병](Leprosy [Hansen's disease])
A31,기타 형태의 미코박테리아에 의한 감염(Infection due to other mycobacteria)
A32,리스테리아증(Listeriosis)
A33,신생아 파상풍(Tetanus neonatorum)
A34,산과적 파상풍(Obstetrical tetanus)
A35,기타 파상풍(Other tetanus)
A36,디프테리아(Diphtheria)
A37,백일해(Whooping cough)
A38,성홍열(Scarlet fever)
A39,수막알균 감염(Meningococcal infection)
A40,사슬알균 패혈증(Streptococcal septicaemia)
A41,기타 패혈증(Other septicaemia)    
A42,방선균증(Actinomycosis)
A43,노카르디아증(Nocardiosis)
A44,바르토넬라증(Bartonellosis)
A46,단독(Erysipelas)
A48,"달리 분류되지 않은 기타 세균성 질환(Other bacterial diseases, NEC) "
A49,상세불명 부위의 세균성 감염(Bacterial infection of unspecified site)
A50,선천 매독(Congenital syphilis)
